currency,month_start_date,end_of_month_rate,prev_month_rate,month_over_month_change_percentage
EUR,1/1/2019,0.874967,NULL,NULL
EUR,2/1/2019,0.878272,0.874967,0.38
EUR,3/1/2019,0.890076,0.878272,1.34
EUR,4/1/2019,0.896861,0.890076,0.76
EUR,5/1/2019,0.89815,0.896861,0.14
EUR,6/1/2019,0.878735,0.89815,-2.16
EUR,7/1/2019,0.896539,0.878735,2.03
EUR,8/1/2019,0.906125,0.896539,1.07
EUR,9/1/2019,0.914495,0.906125,0.92
EUR,10/1/2019,0.900414,0.914495,-1.54
EUR,11/1/2019,0.910581,0.900414,1.13
EUR,12/1/2019,0.893735,0.910581,-1.85
GBP,1/1/2019,0.764205,NULL,NULL
GBP,2/1/2019,0.750949,0.764205,-1.73
GBP,3/1/2019,0.763952,0.750949,1.73
GBP,4/1/2019,0.77435,0.763952,1.36
GBP,5/1/2019,0.791971,0.77435,2.28
GBP,6/1/2019,0.78783,0.791971,-0.52
GBP,7/1/2019,0.821705,0.78783,4.3
GBP,8/1/2019,0.820632,0.821705,-0.13
GBP,9/1/2019,0.81187,0.820632,-1.07
GBP,10/1/2019,0.776157,0.81187,-4.4
GBP,11/1/2019,0.776043,0.776157,-0.01
GBP,12/1/2019,0.761534,0.776043,-1.87
